Using OpenSHMEM version 1.3
Created all test list.
Will be running with 128 different tests
Will be running with 22 different size configurations
Using OpenSHMEM version 1.3
Running tests

#---------------------------------------------------
# Benchmarking shmem_local_read 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
          256          1000           38148           55236           38452.62                     42.92
          512          1000           70912           94245           71603.13                     46.10
         1024          1000          136397          214319          137848.95                     47.89
         2048          1000          267467          293966          270026.37                     48.90
         4096          1000          530196          638751          535260.97                     49.34
         8192          1000         1055147         1307258         1064223.05                     49.63
        16384          1000         2105921         2418980         2120987.47                     49.80
        32768           500         4213004         4444002         4235674.29                     49.88
        65536           500         8427724         9000735         8472076.41                     49.87
       131072           500        16879956        17384432        16945614.97                     49.87
       262144           500        33813975        34440675        33898457.77                     49.86
       524288           500        67697682        68370798        67798182.14                     49.86
      1048576           250       135343045       157840188       135728116.01                     49.81
      2097152           250       271017732       271632469       271231339.17                     49.85
      4194304           250       541984249       543280763       542420824.41                     49.85
      8388608           100      1084096444      1085637401      1084766108.41                     49.86
     16777216           100      2165147650      2171608760      2169936540.11                     49.85

#---------------------------------------------------
# Benchmarking shmem_longdouble_p 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6167           10470            6343.64                     16.26
           16          1000            6154           79437            6657.18                     15.50
           32          1000            7623           26713            7851.51                     26.28
           64          1000           10598           12642           10751.08                     38.38
          128          1000           16391           31427           16607.57                     49.69
          256          1000           28042           48887           28292.93                     58.34
          512          1000           51302           74521           51682.31                     63.87
         1024          1000           97830          120659           98399.40                     67.09
         2048          1000          190874          215242          191907.53                     68.80
         4096          1000          377197          404238          378781.96                     69.72
         8192          1000          749865          948536          752922.02                     70.15
        16384          1000         1496870         1526199         1500267.88                     70.41
        32768           500         2990698         3178223         2997268.60                     70.48
        65536           500         5976906         6324991         5988580.65                     70.55
       131072           500        11951933        12468125        11972845.02                     70.58
       262144           500        23909971        24424738        23938542.79                     70.60
       524288           500        47835548        48358047        47868847.99                     70.61
      1048576           250        95671702        96243249        95731035.66                     70.62
      2097152           250       191364482       192025716       191449323.79                     70.62
      4194304           250       382738949       383595045       382885947.79                     70.63
      8388608           100       765471541       766527359       765766239.01                     70.63
     16777216           100      1531000512      1532248121      1531544297.30                     70.63

#---------------------------------------------------
# Benchmarking shmem_short_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6253           31713            6440.26                      8.01
           16          1000            6201            8965            6338.68                     16.27
           32          1000            6240           26643            6429.42                     32.09
           64          1000            6279           81567            6572.89                     62.78
          128          1000            6347           24248            6554.04                    125.91
          256          1000            6425           27322            6654.67                    248.02
          512          1000            6867           80168            7218.71                    457.28
         1024          1000            7652           32584            7865.38                    839.36
         2048          1000            9134           28265            9511.98                   1388.13
         4096          1000           13130          160697           13678.37                   1930.61
         8192          1000           16243           67149           16738.54                   3155.31
        16384          1000           21830           88519           22301.23                   4736.54
        32768           500           32925           84510           33764.27                   6256.95
        65536           500           55277           99453           55844.20                   7566.09
       131072           500           99923          149748          100822.19                   8381.54
       262144           500          189366         2270466          194437.63                   8692.20
       524288           500          368289         1802438          372481.96                   9074.75
      1048576           250          726433         2181666          734769.89                   9200.65
      2097152           250         1443985         2989357         1454596.21                   9295.17
      4194304           250         2879161         4569577         2901658.87                   9319.30
      8388608           100         5778953         8115266         5840399.91                   9260.13
     16777216           100        11689760        14870493        11829533.45                   9143.70

#---------------------------------------------------
# Benchmarking shmem_int_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6245           21604            6391.36                      8.07
           16          1000            6162           29355            6389.46                     16.14
           32          1000            6269           79734            6502.81                     31.73
           64          1000            6292           27431            6498.46                     63.49
          128          1000            6362            8825            6528.72                    126.40
          256          1000            6409           30421            6661.21                    247.77
          512          1000            6849            9584            7056.72                    467.78
         1024          1000            7616           31232            7855.68                    840.40
         2048          1000            9105           38980            9544.55                   1383.39
         4096          1000           13123           70030           13513.52                   1954.17
         8192          1000           15920           80641           16548.98                   3191.46
        16384          1000           21568           97159           22328.93                   4730.66
        32768           500           32984           86920           34095.67                   6196.13
        65536           500           55732          113535           57777.89                   7312.88
       131072           500          101507          154923          104161.06                   8112.87
       262144           500          193547          324691          198912.75                   8496.64
       524288           500          376550          625686          383986.79                   8802.85
      1048576           250          748121          867492          761162.58                   8881.62
      2097152           250         1490991         1644172         1506827.36                   8972.97
      4194304           250         2978275         3309319         3017585.05                   8961.28
      8388608           100         5996137         8396372         6083219.75                   8890.50
     16777216           100        11902641        13227306        12038196.96                   8985.21

#---------------------------------------------------
# Benchmarking shmem_long_put 
# #processes = 2
#---------------------------------------------------
       #bytes  #repetitions     t_min[nsec]     t_max[nsec]       t_avg[nsec]      Bw_aggregated[MB/sec]
            8          1000            6217           80706            6455.44                      7.99
           16          1000            6193           79981            6527.59                     15.80
           32          1000            6225            8091            6398.82                     32.24
           64          1000            6271           77721            6541.23                     63.08
          128          1000            6362           22756            6540.75                    126.17
          256          1000            6495           79778            6759.64                    244.17
          512          1000            6888            9685            7055.55                    467.85
         1024          1000            7644           80134            7935.68                    831.93
         2048          1000            9121           12946            9478.77                   1392.99
         4096          1000           13099           60956           13485.63                   1958.21
         8192          1000           15996           65927           16545.24                   3192.18
        16384          1000           21622           71832           22215.16                   4754.89
        32768           500           32979           86751           34259.64                   6166.48
